ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
ac_340_a_0,0,2438,465,24.33220887,64.03124237,0.598627121,307.3380951,0.66094214,0.248722465,4.02054555,0.258046615,49.60502083,39.73500173,0.895001576,1.286426507,0.146479011
ac_340_a_1,0,1980,312,19.93114994,66.03029608,0.932939213,191.746212,0.614571192,0.326554322,3.062277646,0.265758092,65.14821336,23.45556683,0.600028269,1.160425848,0.139729572
ac_340_a_2,0,1248,253,17.94796938,39.84971769,0.858195684,146.6040764,0.579462753,0.384608738,2.600044935,0.343283582,40.91776803,21.0040181,0.716465403,0.88385156,0.069769768
ac_340_a_3,0,2736,390,21.93819837,61.55485359,0.627693237,248.1076477,0.656369438,0.277786209,3.599890737,0.194845361,56.67230764,44.11716931,0.88230425,1.298713882,0.250749089
ac_340_a_4,0,3584,322,20.24804024,72.9451849,0.971323083,199.6812409,0.620128077,0.318563197,3.139094565,0.251759187,85.62923783,20.359505,0.48760996,1.089417373,0.219344426
ac_340_a_5,0,435,118,12.2573352,30.3644529,0.940841697,73.49137803,0.622808288,0.523973768,1.908492489,0.462745098,29.19768347,9.893530734,0.582105169,1.069931709,0.342328927
ac_340_a_6,0,960,219,16.69848677,33.24154028,0.352503971,139.8406204,0.638541646,0.375140236,2.665669806,0.333841463,28.78873561,26.94079581,0.967372895,1.328231987,0.412916424
ac_340_b_0,0,1085,270,18.5411617,43.60045871,0.746363138,162.4680374,0.601733472,0.358524534,2.789209401,0.352480418,41.07814748,27.33910628,0.815805693,1.209919863,0.275897199
ac_340_b_1,0,3306,461,24.06915023,72.47068373,0.960503118,275.6579003,0.605841539,0.274309082,3.645522755,0.32546495,77.45766824,21.5540851,0.527512296,1.254988557,0.226159383
ac_340_b_2,0,1378,244,17.62584605,58.18075283,0.971526293,167.3969696,0.686053154,0.33078991,3.023066819,0.306148055,58.58338551,13.88026514,0.486756375,1.163622746,0.242759137
ac_340_b_3,0,1116,211,16.31278838,36.67424164,0.485667281,147.0832611,0.703747661,0.348429425,2.870021667,0.318112633,29.1812721,25.50862656,0.934956549,1.206440784,0.19151398
ac_340_b_4,0,2457,306,19.73857393,70.66116331,0.985025321,171.4030663,0.560140739,0.361782086,2.764094849,0.361702128,71.95363029,12.40550619,0.41522251,1.037991892,0.14424346
ac_340_b_5,0,3294,404,21.52810243,66.70832032,0.750753668,240.4030663,0.660447984,0.281329725,3.554547964,0.226932668,59.42214268,39.25321363,0.812762121,1.277591275,0.230941377
ac_342_a_0,0,2964,304,19.67396304,61.46543744,0.847458261,205.0893578,0.674636045,0.301369015,3.318191155,0.207934337,57.80469638,30.68631853,0.728602794,1.187968195,0.222906186
ac_342_a_1,0,2520,435,23.37134495,65.2533524,0.894369867,246.6812409,0.575014547,0.29764422,3.359715835,0.25429757,60.40239803,27.01969756,0.668826006,1.273439094,0.106160409
ac_342_a_10,0,1634,326,20.3734163,50.93132631,0.815229144,198.2253967,0.608053364,0.322889882,3.09703108,0.367945824,47.22785489,27.35147066,0.761011521,1.177457455,0.144243012
ac_342_a_11,0,2400,389,22.16913314,62.64982043,0.768556987,262.4030663,0.67980069,0.265417576,3.767648001,0.244613435,53.63395833,34.31400548,0.799863323,1.481742279,0.15272407
ac_342_a_12,0,1870,253,17.94796938,59.23681288,0.913990362,163.9116882,0.647872286,0.343997486,2.906997986,0.255297679,55.50211759,22.5192015,0.636974016,1.145209148,0.232687039
ac_342_a_13,0,2544,353,21.20031979,56.61271942,0.54931768,232.1604256,0.657678259,0.286882524,3.485747355,0.182334711,48.00602207,40.11448485,0.914119029,1.346627793,0.215989258
