ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
ac_control_c1_0,0,4292,449,23.90992588,82.73451517,0.540251919,317.9299782,0.708084584,0.236263494,4.23256248,0.159843361,67.17456328,56.52761908,0.917334909,1.370501484,0.249874265
ac_control_c1_1,0,1178,143,13.4934523,46.86149806,0.976443348,95.73401872,0.669468662,0.44279903,2.258360865,0.346246973,52.53250723,11.33514537,0.464514722,0.791261327,0.150096813
ac_control_c1_10,0,2911,343,20.89787463,71.84705979,0.938971144,260.1604256,0.758485206,0.252354328,3.962682184,0.17544757,78.99911025,27.17537143,0.586511652,1.044802395,0.12992054
ac_control_c1_11,0,3648,478,24.66999194,79.40403012,0.833186168,331.7523087,0.694042487,0.23361726,4.280505639,0.184484755,71.49584131,39.5366708,0.743634719,1.344860329,0.130780924
ac_control_c1_2,0,2970,388,22.22649193,64.63745044,0.809590431,288.0954544,0.742514058,0.242373084,4.125870678,0.202610966,62.83196068,36.88205766,0.766156103,1.355339918,0.243297083
ac_control_c1_3,0,1120,219,16.69848677,36.23534186,0.342624868,183.390873,0.837401246,0.286054821,3.495833408,0.257344301,36.96596675,34.72850175,0.969263792,1.336314272,0.269412268
ac_control_c1_4,0,1924,325,20.34214473,57.27128425,0.782600316,228.5452019,0.703216006,0.279624039,3.576230441,0.242175857,52.62257027,32.75883895,0.789002214,1.370803227,0.250434353
ac_control_c1_5,0,2184,318,20.12188299,52.77309921,0.837283761,232.4030663,0.730827252,0.272004844,3.676405116,0.217213115,53.92659182,29.48536718,0.739438031,1.368781434,0.163181986
ac_control_c1_6,0,1505,258,18.12445317,53.60037313,0.840223493,175.882251,0.681714151,0.323737322,3.088924051,0.228723404,54.82692469,29.72936499,0.736369638,1.255881411,0.20968954
ac_control_c1_7,0,2464,524,24.17471719,67.20119047,0.540274659,342.5807358,0.746363259,0.22169114,4.510780175,0.208352247,53.27349567,44.82904653,0.917326951,1.431982461,0.193860941
ac_control_c1_8,0,2542,578,25.90361442,71.19691005,0.779874081,375.8528137,0.713193195,0.216517216,4.618570382,0.272210744,59.53994214,37.26821896,0.791161445,1.453390968,0.138707736
ac_control_c1_9,0,4745,722,29.46776832,74.95331881,0.435279657,463.3208512,0.679356087,0.199809105,5.004776942,0.244181883,61.33551803,55.22007837,0.94883892,1.44841322,0.232706777
ac_control_c3_0,0,1566,292,19.28175166,87.09190548,0.98904187,183.4325035,0.628193505,0.330232692,3.02816779,0.33106576,90.29427862,13.3306224,0.384233385,0.829569192,0.167756878
ac_control_c3_1,0,1276,303,18.94870844,51.10772936,0.946608447,148.3969696,0.526230389,0.401147836,2.492846552,0.423423423,46.30014821,14.92649911,0.567790065,0.9564312,0.27565061
ac_control_c5_0,0,528,70,9.440697439,26.92582404,0.97731273,53.3137085,0.761624407,0.556307684,1.797566397,0.351758794,33.27376637,7.047429837,0.460218846,0.831345686,0.080524502
ac_control_c5_1,0,3564,509,24.77299862,77.17512553,0.801177592,354.6812409,0.735853197,0.219427084,4.557322557,0.237321516,59.74539806,35.75323893,0.773580415,1.231378413,0.159022155
ac_control_c5_10,0,1984,255,18.01877032,62.28964601,0.916943587,197.4974747,0.774499901,0.286624609,3.488883956,0.23943662,58.20254539,23.22379718,0.631677817,0.99484504,0.111965036
ac_control_c5_11,0,3456,356,21.29021554,72.24956747,0.767326254,285.5035713,0.801976324,0.234270921,4.2685622,0.145782146,67.44804727,43.25152614,0.800785181,1.266161906,0.161230029
ac_control_c5_12,0,2444,296,19.41336924,58.13776741,0.712672867,195.3614357,0.66000485,0.312184941,3.203229465,0.2115797,53.44367245,37.49055089,0.837553898,1.182855548,0.150640215
ac_control_c5_13,0,2990,324,20.31082501,72.01388755,0.912815139,250.9888527,0.774656953,0.254227779,3.933480452,0.239114391,68.60595266,28.01682003,0.639040702,1.250509996,0.235263658
ac_control_c5_14,0,3713,410,22.84793674,89.69392399,0.922002107,315.882251,0.770444515,0.227233122,4.400766883,0.200980392,82.17359966,31.81637352,0.6222418,1.190343331,0.181275781
ac_control_c5_15,0,1276,168,14.62546558,44.28317965,0.681031281,131.5624458,0.783109797,0.349242939,2.863336345,0.235294118,38.60726143,28.27033411,0.855718601,1.155717934,0.218723159
ac_control_c5_16,0,2322,301,18.6779987,56.30275304,0.760293948,204.9827561,0.748112248,0.286261462,3.4933099,0.204630321,51.45250215,33.4224742,0.805964752,1.344071994,0.235490279
ac_control_c5_17,0,3920,375,21.85096861,84.64632302,0.925084747,278.9888527,0.743970274,0.246055861,4.064117776,0.172176309,84.19572262,31.97422897,0.616247295,1.315531731,0.247780654
ac_control_c5_18,0,3800,407,22.76419326,87.36704184,0.857432744,318.2375901,0.781910541,0.224724623,4.449890665,0.144633973,79.91418787,41.12352498,0.7173535,1.264063097,0.187359822
ac_control_c5_19,0,2074,227,17.00074636,61.03277808,0.884397837,182.8050865,0.805308751,0.29216594,3.422712454,0.201062888,55.94918947,26.1133793,0.683179205,1.12679256,0.223830072
ac_control_c5_2,0,3358,370,21.55765372,75.18643495,0.905891022,271.0893578,0.742710569,0.249826725,4.002774316,0.210495963,68.78752881,29.13226606,0.650777127,1.103648274,0.13027991
ac_control_c5_20,0,1593,201,15.9975357,59.13543777,0.907100869,154.7340187,0.769820989,0.324800849,3.078809687,0.209593326,57.03240071,24.00569648,0.64877832,1.163841458,0.22632846
ac_control_c5_21,0,1692,340,20.49802551,56.30275304,0.779648978,245.0538239,0.742587345,0.262784907,3.805393585,0.229166667,50.51495242,31.63331149,0.791338608,1.185203906,0.080807708
ac_control_c5_22,0,4422,417,23.04215463,92.65527508,0.928439788,328.2964646,0.78728169,0.220499066,4.535166608,0.179974104,86.54595901,32.15034558,0.609493987,1.120733828,0.142645245
ac_control_c5_23,0,3588,334,20.62188177,70.76722405,0.787882749,238.5035713,0.714082549,0.271633468,3.681431475,0.144965278,66.70269717,41.07720711,0.78474536,1.231880215,0.206589129
ac_control_c5_24,0,3127,384,22.11162557,69.35416354,0.715908045,322.2609307,0.839221174,0.215557376,4.639136089,0.166739036,59.30750848,41.40818096,0.835580385,1.435464412,0.235558125
ac_control_c5_25,0,3975,447,23.85661494,86.2670273,0.768473401,336.4091629,0.752593206,0.222787529,4.488581579,0.147184722,72.61614939,46.46574751,0.79992608,1.217241551,0.137918448
ac_control_c5_26,0,4095,677,29.35954992,91.13725912,0.854501688,425.628463,0.628697877,0.216704836,4.61457168,0.227946128,86.3437305,44.85113131,0.720727838,1.185133542,0.141976558
ac_control_c5_27,0,3136,313,19.73857393,58.82176468,0.812145632,235.9116882,0.77095323,0.262854966,3.804379329,0.158303156,59.49227108,34.71104954,0.763842113,1.300274968,0.201463019
ac_control_c5_28,0,4002,400,22.56758334,75.23961722,0.706777313,326.8111832,0.817027958,0.216939192,4.609586633,0.152264941,65.3271715,46.21479918,0.841092204,1.364849289,0.231312419
ac_control_c5_29,0,2288,409,22.82005639,55.6057551,0.859227817,245.0954544,0.59925539,0.292503677,3.418760447,0.346316681,53.04111685,27.13547241,0.715257406,1.241894274,0.211704737
ac_control_c5_3,0,1908,252,17.91246396,54.5710546,0.731745491,198.5979797,0.788087221,0.283354671,3.529145988,0.180257511,60.50022166,41.23561859,0.825577359,1.22354469,0.22917489
ac_control_c5_30,0,2867,341,20.8368588,65.19202405,0.824980634,248.4386002,0.728558945,0.263489339,3.795219966,0.191573034,58.79969908,33.23129661,0.751771906,1.150847103,0.157642002
ac_control_c5_31,0,2160,357,21.32009656,57.38466694,0.703941698,260.9116882,0.730845065,0.256711607,3.89542184,0.219692308,50.97394342,36.20463889,0.842767916,1.296508824,0.236716795
ac_control_c5_32,0,5846,758,31.06630932,79.40403012,0.341271559,488.8355698,0.644901807,0.199653411,5.008679756,0.204698893,65.91976319,61.96225343,0.96951779,1.535248621,0.262249479
ac_control_c5_4,0,1080,190,15.55363345,54.33231083,0.972920307,132.2193001,0.695891053,0.369561634,2.70590859,0.297805643,53.07402005,12.26757216,0.480771061,1.105051621,0.109184265
ac_control_c5_5,0,1836,270,18.50679436,54.4242593,0.824079351,193.9827561,0.721125487,0.299721534,3.336430275,0.270623742,47.07757764,26.66824164,0.752644923,1.168050727,0.222065146
