ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
dm_299_a_0,2,1584,352,21.17026971,49.24428901,0.820852605,178.9177849,0.508289162,0.37172584,2.690154661,0.36401241,44.5840007,25.46371013,0.755738109,1.450509276,0.11323539
dm_299_a_1,2,1920,437,23.58825303,50,0.819351708,268.9238816,0.615386457,0.275560066,3.628972863,0.348207171,48.31819908,27.70039744,0.757159944,1.228458465,0.116373607
dm_299_a_10,2,2600,978,26.84499175,60.20797289,0.512670632,378.1787156,0.668160275,0.223005752,4.484189267,0.294484912,54.27515106,46.5998502,0.926598814,1.43704794,0.14986227
dm_299_a_11,2,1184,346,20.98906578,43.93176527,0.694083265,209.1248917,0.604407201,0.315309643,3.171485628,0.391402715,38.1866271,27.49035159,0.848466104,1.321143292,0.115797557
dm_299_a_12,2,2451,542,25.97723924,67.11929678,0.803747861,316.7939392,0.597724414,0.257611949,3.881807524,0.291689598,56.33780978,33.51931028,0.771343026,1.411922809,0.120134839
dm_299_a_13,2,1800,317,20.05850683,53.85164807,0.774685574,229.3969696,0.725939777,0.274701352,3.640316995,0.252194733,51.92840532,32.83675212,0.795202257,1.321408966,0.149382755
dm_299_a_14,2,1496,349,21.07986245,45.54119015,0.821200339,200.1248917,0.573423758,0.330915062,3.021923489,0.341821743,42.85658301,24.45568028,0.755407171,1.393048008,0.204956991
dm_299_a_15,2,870,301,19.57664688,39.05124838,0.716694283,177.8528137,0.590873135,0.345801951,2.89182868,0.384910486,35.75511508,24.9351698,0.835097291,1.778313244,0.324906782
dm_299_a_16,2,2940,532,25.97723924,70.06425622,0.83758341,306.6162697,0.578521264,0.266162993,3.757096318,0.252260828,62.58185351,34.18905888,0.739127502,1.321755643,0.098161628
dm_299_a_17,2,1188,246,17.66192765,39.39543121,0.666986986,157.1959595,0.641616161,0.352977153,2.833044555,0.329301075,34.63209005,25.80330939,0.863174007,1.34850469,0.202810595
dm_299_a_18,2,1178,319,20.05850683,40.22437072,0.870014125,181.1604256,0.573292486,0.3478445,2.874847811,0.413071895,43.14255293,21.27043466,0.702158669,1.24203838,0.070527732
dm_299_a_19,2,3484,445,23.0973455,67.18630813,0.744337165,286.4030663,0.683539538,0.253357801,3.946987216,0.204789834,59.30780019,39.60598632,0.817192757,1.159450884,0.120228566
dm_299_a_2,2,1591,289,19.14922946,51.2249939,0.660261589,174.882251,0.607230038,0.343997623,2.906996834,0.224473889,42.09811589,31.61718826,0.866623164,1.539851389,0.238915303
dm_299_a_20,2,4047,457,24.12199146,73.06161783,0.885811757,315.1309883,0.689564526,0.2404761,4.158417401,0.235082305,64.49856763,29.93022173,0.681208302,1.132764611,0.135310546
dm_299_a_21,2,4050,798,30.40348515,87.36704184,0.869263104,445.3208512,0.613389602,0.214486623,4.662295416,0.281286323,80.74730938,39.91741063,0.703100086,1.338121696,0.134649149
dm_299_a_22,2,3074,767,30.06659403,62.16912417,0.471514697,504.1137444,0.710019358,0.187372378,5.33696595,0.293025175,54.85083985,48.37066308,0.939073055,1.630244751,0.235839396
dm_299_a_23,2,3400,738,30.13004805,78.89233169,0.788392794,442.8416665,0.621096306,0.213747587,4.678415389,0.264564007,66.36793822,40.82770876,0.784329123,1.400067878,0.120681002
dm_299_a_24,2,2660,637,27.91455895,78.44743463,0.949711612,348.3797257,0.569247918,0.251725823,3.972576139,0.319248826,73.81501395,23.11339565,0.559576572,1.338168943,0.072203587
dm_299_a_25,2,2520,754,29.98177978,56.88585061,0.68342109,437.6345597,0.61987898,0.215226465,4.646268764,0.411901984,52.43936383,38.28201471,0.854414649,1.424390331,0.129035405
dm_299_a_26,2,3876,1002,34.1323041,82.46211251,0.812727392,520.4041123,0.568747664,0.206051016,4.853167054,0.330802603,73.21739387,42.65968506,0.763311296,1.455774359,0.152804062
dm_299_a_27,2,2552,423,23.20733348,58.07753438,0.684787181,259.3086579,0.613022832,0.281162955,3.556656323,0.275570033,47.60276484,34.69018676,0.853664517,1.399392719,0.132399018
dm_299_a_28,2,1764,463,23.66908109,47.41307836,0.713769044,259.1309883,0.588934064,0.286953759,3.484882032,0.382276281,40.90987126,28.65250259,0.836887775,1.344397954,0.189856338
dm_299_a_29,2,2337,579,27.10459772,66.37017402,0.820288529,344.0782105,0.596322722,0.24747747,4.040771871,0.334686775,55.8873962,31.96479269,0.756273718,1.511624812,0.120691751
dm_299_a_3,2,2160,403,22.65205369,54.08326913,0.638331197,219.4802307,0.544615957,0.324236608,3.084167476,0.342978723,46.26637829,35.61409225,0.877360721,1.205934397,0.096090826
dm_299_a_30,2,1880,576,25.05408341,47.85394446,0.67952227,311.5157646,0.631877819,0.252666906,3.957779894,0.341176471,44.84836129,32.90321917,0.856536562,1.521858632,0.146414344
dm_299_a_31,2,1560,260,18.19456737,61,0.948749468,152.2253967,0.585482295,0.375495288,2.663149265,0.273396425,61.20539793,19.34269211,0.562164732,1.292737206,0.114940672
dm_299_a_32,2,2385,628,23.50714705,55,0.781621626,291.4386002,0.671517512,0.253397733,3.946365225,0.241245136,56.16795046,35.03491988,0.789780262,1.329138441,0.12096282
dm_299_a_33,2,2898,534,24.09558533,76.6093989,0.916389119,278.3086579,0.610326004,0.271994822,3.676540578,0.290630975,61.82024917,24.74594251,0.632683669,1.163634816,0.13348744
dm_299_a_34,2,2200,394,22.39768695,56.72741841,0.665432441,274.1604256,0.695838644,0.256654142,3.896294027,0.232311321,45.39210696,33.88330504,0.863978056,1.504589032,0.253907203
dm_299_a_35,2,2750,577,26.05065599,56.08921465,0.60206917,323.1015511,0.60619428,0.253296678,3.94793966,0.313345091,47.72304976,38.10417956,0.8935569,1.247698157,0.145453802
dm_299_a_36,2,2142,438,23.50714705,51.0881591,0.573300487,260.6812409,0.60064802,0.283295723,3.529880335,0.300762301,48.53282133,39.76513403,0.905176887,1.325210076,0.165418324
