ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
lat_299_a_0,2,2670,540,26.22116233,89.35882721,0.941834635,331.509668,0.613906793,0.24848811,4.024337417,0.256288562,84.42670093,28.37384353,0.57972119,1.399104721,0.126395178
lat_299_a_1,2,1848,399,21.79262146,56.14267539,0.833544308,241.4741341,0.647383737,0.283523284,3.527047183,0.347623486,49.89407068,27.56410961,0.743271559,1.356842587,0.083187364
lat_299_a_10,2,2400,263,18.29923496,65.21502894,0.761339163,162.8406204,0.619165857,0.353036865,2.832565375,0.192815249,57.28701225,37.14225333,0.805204211,1.026226143,0.11661121
lat_299_a_11,2,2394,318,20.12188299,68.94200461,0.921881757,231.6751442,0.728538189,0.272859482,3.664890051,0.228776978,60.21669497,23.33224244,0.622471945,1.287680396,0.11615446
lat_299_a_12,2,2772,357,21.32009656,66.12110102,0.869997693,257.6812409,0.721796193,0.259929898,3.847191133,0.22146402,69.64174692,34.33726672,0.702179316,1.234415413,0.13204893
lat_299_a_13,2,1728,323,20.27945692,54.74486277,0.795247464,224.8467171,0.696119867,0.283347668,3.529233214,0.283333333,51.66190762,31.32183834,0.778643034,1.085290297,0.189697234
lat_299_a_14,2,2592,508,22.51109368,77.25283166,0.932371571,255.4030663,0.641716247,0.276898346,3.611433638,0.239470517,72.75449617,26.30085127,0.601249854,1.123464326,0.147157066
lat_299_a_15,2,1836,223,16.85029431,57.24508713,0.94234343,167.0832611,0.749252292,0.316828631,3.156280409,0.223223223,64.08236829,21.44499585,0.578487137,1.227765868,0.132295467
lat_299_a_16,2,840,224,16.88803298,40.19950248,0.886156899,127.4325035,0.568895105,0.416340564,2.401879824,0.373333333,41.43625696,19.20095301,0.680724111,1.096941235,0.400405349
lat_299_a_17,2,2592,301,19.57664688,71.58910532,0.906321785,220.5330086,0.732667803,0.278878207,3.585794713,0.204901293,66.57535375,28.13396174,0.650067875,1.14423236,0.26628652
lat_299_a_2,2,1628,229,17.07547527,47.92702787,0.915509868,148.7045815,0.649364985,0.360743342,2.772053934,0.289873418,46.36358763,18.65186339,0.6342677,1.146831369,0.213827927
lat_299_a_3,2,1548,202,16.03728119,48.3011387,0.940174564,130.390873,0.645499371,0.386396713,2.588013731,0.286931818,48.70358427,16.59297514,0.583689216,1.122597458,0.121346033
lat_299_a_4,2,1888,326,20.34214473,63.3245608,0.944838289,186.8467171,0.574912976,0.34202759,2.923740739,0.330620549,59.70818536,19.55665101,0.572308646,1.109831273,0.119232928
lat_299_a_5,2,4617,632,28.07374713,81.39410298,0.778083513,395.6223664,0.639131448,0.222930464,4.485703665,0.233408748,70.48678064,44.27703566,0.792565988,1.313743781,0.140348504
lat_299_a_6,2,3540,466,24.35835848,71.21797526,0.64037445,324.5157646,0.696385761,0.235809931,4.240703502,0.171197649,62.12253633,47.71401322,0.876391958,1.275802969,0.167729596
lat_299_a_7,2,1755,304,19.67396304,51.73973328,0.748769305,225.8111832,0.742799945,0.273713537,3.653454664,0.288698955,42.63916788,28.26254921,0.814144148,1.239093804,0.198335601
lat_299_a_8,2,2800,427,23.20733348,63.5295207,0.744739975,291.6162697,0.689400165,0.250013446,3.999784882,0.243383199,54.33297956,36.25937231,0.816917839,1.442286713,0.234831796
lat_299_a_9,2,864,177,15.01210843,38.94868419,0.794397272,108.6690476,0.613949421,0.433995978,2.30416882,0.325966851,32.57957907,19.78878844,0.779357768,1.0572555,0.213051519
lat_299_b_0,2,1632,412,22.68014057,68.59300256,0.976944246,252.8172798,0.625785346,0.281831064,3.548224904,0.320634921,76.09241176,16.24531828,0.462054748,1.453651748,0.122024016
lat_299_b_1,2,1968,290,19.2156048,53.26349594,0.819106488,190.6396103,0.657377967,0.316658237,3.157978803,0.253718285,51.93610035,29.79270205,0.757391241,1.354690963,0.214811976
lat_299_b_2,2,1632,317,19.93114994,54.4242593,0.927031551,182.1248917,0.583733627,0.343805581,2.908620612,0.37098692,49.43301126,18.5365556,0.612358832,0.854048848,0.099611039
lat_299_b_3,2,1968,290,19.2156048,53.26349594,0.819106488,190.6396103,0.657377967,0.316658237,3.157978803,0.253718285,51.93610035,29.79270205,0.757391241,1.354690963,0.214811976
lat_299_b_4,2,1372,266,18.40330728,52.55473337,0.944356057,157.5685425,0.592362942,0.366924096,2.72535931,0.29753915,55.08029555,18.11728467,0.57351981,1.092738985,0.139450159
lat_299_b_5,2,5329,708,30.02421685,91.28526716,0.560421075,451.0132393,0.637024349,0.209137672,4.781539301,0.199100112,76.77768714,63.58788208,0.910059248,1.368108141,0.228010165
lat_299_b_6,2,6006,694,29.46776832,94.49338601,0.883218759,426.4629868,0.625312297,0.217077982,4.606639476,0.186186186,111.5754363,52.32455249,0.684807431,1.226827979,0.152364325
lat_299_b_7,2,3344,717,29.70446102,77.20103626,0.926298665,400.391919,0.577766117,0.23306993,4.290557774,0.300390117,84.58494483,31.87077033,0.613832311,1.509617604,0.134397914
lat_299_c_0,2,750,123,12.51433035,38.41874542,0.964058569,93.73401872,0.762065193,0.419430734,2.384183892,0.396774194,38.13272669,10.1314769,0.515451074,1.143026412,0.160383791
lat_299_c_1,2,1872,357,21.32009656,53.60037313,0.743496944,248.9888527,0.697447767,0.269004247,3.717413433,0.274615385,51.17540076,34.22300332,0.817764839,1.266928805,0.109312829
lat_299_c_10,2,1786,183,15.26443044,55.75840744,0.913580913,137.5269119,0.75151318,0.348692644,2.867855165,0.221281741,53.09117311,21.58989716,0.637696636,1.093913245,0.109373033
lat_299_c_11,2,5676,418,23.06976657,97.08243919,0.901365431,277.373629,0.663573275,0.261293078,3.82712014,0.140504202,88.96067221,38.52524665,0.658072414,1.182317581,0.132607502
lat_299_c_12,2,2376,439,23.61522646,56.64803615,0.457489562,299.2020561,0.683109717,0.247957594,4.032947667,0.288347597,50.08670539,44.53784928,0.942981967,1.406583008,0.15159374
lat_299_c_13,2,897,143,13.35116236,41.10960958,0.904153307,115.4558441,0.824684601,0.363289653,2.7526245,0.27833002,42.07892868,17.97646096,0.653611614,0.968123184,0.075122234
lat_299_c_14,2,1944,302,18.50679436,56.32051136,0.895499299,191.6396103,0.712414908,0.303386179,3.296129052,0.269269269,52.23237787,23.24669482,0.667130365,1.017552044,0.07942217
lat_299_c_15,2,2064,336,20.68353178,50.92150823,0.657328227,214.7167748,0.63903802,0.302627643,3.3043908,0.246877296,49.35329828,37.19286307,0.868103915,1.037951892,0.106534377
lat_299_c_16,2,2244,234,17.26088218,65.4369926,0.95911981,165.6690476,0.707987383,0.327319203,3.055121699,0.281927711,63.95894091,18.10040167,0.531977757,1.175336809,0.156481876
lat_299_c_17,2,2392,244,17.62584605,68.76772499,0.933050649,201.2903679,0.824960524,0.275091297,3.635156799,0.205387205,67.61911632,24.32564094,0.599787486,1.29595559,0.23524848
lat_299_c_18,2,2900,536,23.15240481,63.00793601,0.853601671,280.6812409,0.666701285,0.259138889,3.858934507,0.263454318,60.43023552,31.47969764,0.721752227,1.156774174,0.120704869
lat_299_c_19,2,1560,394,22.28370307,45.79301257,0.617945733,240.8172798,0.617480205,0.29070305,3.439936383,0.3046875,42.4761594,33.395638,0.8866909,1.241461183,0.088694104
lat_299_c_2,2,1798,488,24.82434168,58.00862005,0.8813887,292.5807358,0.604505652,0.266551963,3.751613716,0.378420641,56.04874926,26.4769664,0.687307605,1.42957386,0.116849758
lat_299_c_20,2,1560,240,17.44431859,50.24937811,0.853300959,169.6335137,0.709763655,0.323066722,3.095335833,0.260632497,47.05911906,24.53750522,0.722093284,0.986035864,0.090337076
