ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity,Mom2,Mom3,MomH2,MomH3,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Corralation,Intensity_Max,Intensity_Mean,Intesinty_Min,Shannon_Entropy,quartiles_25,quartiles_50,quartiles_75
lat_299_a_0,2,2670,540,26.221162334209897,89.35882720806042,0.9418346349967556,331.5096679918781,0.613906792577552,0.24848811033697335,4.0243374165625285,0.2562885619364025,84.42670092628974,28.373843526945404,0.5797211902275407,1.399104720676651,0.12639517844785825,1773955.0,52999311.0,0.00091707262538241,3.095869095513121e-05,1032.323076923077,24.36703296703297,0.0469381305611592,0.0022267842048061827,0.04718881440348107,0.8068465240622852,252.0,116.16296296296296,1.0,1.4470282283057123,78.75,110.0,149.25
lat_299_a_1,2,1848,399,21.792621462004423,56.142675390472796,0.8335443076489134,241.47413408594537,0.6473837374958321,0.2835232839602143,3.5270471829760766,0.34762348555452005,49.89407067767078,27.56410960960602,0.743271559260647,1.3568425866414524,0.08318736414558488,1607446.0,54381126.0,0.0005174203583240881,1.324803834617875e-05,2303.2013651877132,37.02389078498294,0.04324775045797002,0.003459562720590805,0.0588180475754747,0.5329944901235152,249.0,143.8686327077748,9.0,2.102693815628239,108.0,138.0,186.0
lat_299_a_10,2,2400,263,18.29923496393627,65.21502894272147,0.7613391634993104,162.84062043356596,0.6191658571618478,0.35303686497847353,2.8325653754629143,0.19281524926686217,57.28701224877537,37.14225332567356,0.805204211183148,1.0262261425319368,0.11661120980609578,854103.0,30171113.0,0.009163794415475303,0.0007801498609289028,1169.5597014925374,23.350746268656714,0.07212820319185836,0.0038984183559812873,0.06243731541299071,0.7093229118860985,250.0,81.69581749049429,1.0,0.9435423256872092,51.0,72.0,103.0
lat_299_a_11,2,2394,318,20.12188299403865,68.94200461257273,0.9218817572058372,231.67514421272202,0.7285381893481825,0.2728594817768711,3.6648900506882254,0.22877697841726619,60.21669497391912,23.332242435884012,0.6224719451210703,1.2876803958047578,0.11615446000418995,665285.0,16548299.0,0.005342237459527985,0.0003893572114734202,1159.9676113360324,26.097165991902838,0.04209461523869778,0.004114147093051845,0.0641416174807889,0.6440180748775781,251.0,92.5880503144654,4.0,1.0337180775286192,65.0,88.0,115.0
lat_299_a_12,2,2772,357,21.320096563347295,66.12110101926616,0.869997692802652,257.6812408671319,0.7217961929051314,0.2599298983187264,3.8471911329484634,0.22146401985111663,69.64174692400594,34.337266720718496,0.7021793164856559,1.2344154130973461,0.13204892951498348,931144.0,27312916.0,0.004333706184920219,0.0002868522319313041,1960.5217391304345,32.95652173913043,0.04530469861409561,0.004015060382133762,0.06336450411810829,0.6229317543787464,251.0,100.29411764705883,2.0,0.8512103402483903,67.0,94.0,127.0
lat_299_a_13,2,1728,323,20.279456919490165,54.74486277268398,0.79524746449598,224.84671708797583,0.696119867145436,0.2833476677008064,3.529233214144272,0.2833333333333333,51.66190762053785,31.321838340430084,0.7786430340177286,1.0852902966547404,0.18969723427398505,970530.0,37366760.0,0.00807976335247528,0.0007352184712491204,1907.0,33.44347826086957,0.036330707979407774,0.004385633270321362,0.06622411396403399,0.5266009785515462,242.0,88.91331269349845,1.0,0.7530386937896273,63.5,85.0,107.5
lat_299_a_14,2,2592,508,22.511093682995384,77.25283166331187,0.9323715714706887,255.40306627407986,0.6417162469197987,0.2768983457030138,3.6114336380779464,0.2394705174488568,72.7544961749157,26.300851268697365,0.6012498539509258,1.1234643257693868,0.14715706639493048,1292168.0,71282774.0,0.015883891471481247,0.002178172975099583,1082.9475409836064,23.47213114754098,0.050535141280546175,0.0033861865090029563,0.058190948686225735,0.5740062383600878,242.0,66.49497487437186,1.0,0.8305565980893723,45.0,60.0,81.0
lat_299_a_15,2,1836,223,16.85029431422316,57.245087125446844,0.942343429650774,167.08326112068522,0.74925229202101,0.3168286306678728,3.1562804090400736,0.22322322322322322,64.08236828948371,21.444995853092614,0.5784871368741842,1.2277658677387524,0.13229546693358435,418256.0,10147144.0,0.006150415857233516,0.0006991162455748599,1428.6067415730336,29.573033707865168,0.030971237307330694,0.005617977528089887,0.07495316889958614,0.627571685186905,251.0,87.12107623318386,6.0,0.8695940370983828,58.5,80.0,109.5
lat_299_a_16,2,840,224,16.88803298257901,40.19950248448356,0.8861568987194302,127.43250352560273,0.5688951050250122,0.41634056370078987,2.4018798243225388,0.37333333333333335,41.4362569571229,19.2009530135403,0.6807241113323179,1.096941234972184,0.4004053490300874,761634.0,25516200.0,0.009681746326373301,0.0009324500379684673,1876.108695652174,32.532608695652165,0.0395266329762633,0.005434782608695651,0.07372097807744855,0.6843985167311596,241.0,107.88392857142857,2.0,0.5655952033136918,69.0,99.5,137.75
lat_299_a_17,2,2592,301,19.576646877473273,71.58910531638176,0.9063217845914658,220.53300858899107,0.7326678026212328,0.2788782069663459,3.58579471260254,0.2049012933968686,66.57535374775301,28.13396174004183,0.6500678753711563,1.1442323603097206,0.26628651984494345,941965.0,42214387.0,0.018074824236462145,0.00206707871881099,1049.4439655172414,25.2198275862069,0.03026311758509569,0.004458977407847799,0.06677557493461063,0.47989366071321216,192.0,78.5813953488372,1.0,0.5420014421404945,58.0,77.0,94.0
