ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
pc_299_a_0,2,920,261,18.22952334,48.70318265,0.955383206,142.2903679,0.545173823,0.402484985,2.484564734,0.425081433,53.07900722,15.67790079,0.543478741,0.974134412,0.15225888
pc_299_a_1,2,1215,173,14.84151075,47.12748667,0.959302988,109.0477272,0.630333683,0.427574075,2.338776034,0.325800377,49.21142187,13.89626148,0.531393248,0.812835299,0.163059647
pc_299_a_2,2,1035,165,14.49429284,48.84669897,0.991859523,110.4264069,0.669250951,0.412357562,2.425079816,0.450819672,54.06136548,6.884007008,0.356842971,0.87687101,0.260375479
pc_299_a_3,2,2820,309,19.83509565,60.03332408,0.631910308,221.2609307,0.716054792,0.281630338,3.550753821,0.209207854,49.04291668,38.01029685,0.880364426,1.065874806,0.128397505
pc_299_a_4,2,2597,308,19.80297401,58.6003413,0.748730865,210.5391052,0.683568524,0.295493218,3.384172427,0.234042553,52.56306264,34.8426936,0.814170814,0.923123863,0.115289325
pc_299_a_5,2,2068,276,18.74604263,59.46427499,0.934035679,193.8172798,0.702236521,0.303855414,3.291038941,0.291446674,59.12918474,21.11974549,0.597645143,1.167489549,0.208357261
pc_299_a_6,2,492,115,12.10051849,41.30375286,0.977337012,84.87005769,0.738000502,0.447918866,2.232547178,0.410714286,46.17853814,9.775503066,0.46009707,0.892864936,0.254819288
pc_299_b_0,2,4176,397,22.48279563,84.29116205,0.917838503,271.1248917,0.682934236,0.260513836,3.838567714,0.180127042,81.85350275,32.49207583,0.630042861,1.174650136,0.158497984
pc_299_b_1,2,6478,591,27.43145222,92.17917335,0.822059485,392.900541,0.66480633,0.219339094,4.559150769,0.176312649,88.54537699,50.4178809,0.754587051,1.139473106,0.129581539
pc_299_b_10,2,1406,195,15.75695755,50.32891813,0.9474403,120.2903679,0.616873682,0.411520415,2.430013103,0.332764505,51.5091318,16.47945122,0.565625861,1.116123395,0.340324688
pc_299_b_11,2,1944,284,18.98227571,56.04462508,0.8494555,187.882251,0.66389488,0.317404,3.150558913,0.226581265,55.5642879,29.31906676,0.726402273,1.127447427,0.123522424
pc_299_b_12,2,1890,312,19.93114994,56.72741841,0.873963549,177.1248917,0.567707986,0.353510755,2.828768249,0.239447429,53.69014384,26.09295223,0.697130888,1.245149536,0.211715612
pc_299_b_13,2,3249,289,19.18244584,73.75635566,0.981960679,191.5391052,0.66276507,0.314627297,3.178363765,0.273415326,80.74547971,15.26777793,0.43483932,1.062742843,0.20647663
pc_299_b_14,2,621,125,12.61566261,31.90611227,0.958092684,79.9411255,0.639529004,0.495780773,2.017020536,0.452898551,35.01772408,10.0311208,0.535218075,1.143405988,0.354846616
pc_299_b_15,2,540,178,15.05445578,37.64306045,0.958396409,109.6335137,0.615918616,0.431391516,2.318079893,0.536144578,36.65986269,10.46421234,0.534266391,1.054539323,0.223997154
pc_299_b_16,2,2464,421,22.22649193,58.5918083,0.832670838,247.7167748,0.638445296,0.281880724,3.547599803,0.255767963,52.56691659,29.10988944,0.744156066,1.228482262,0.149895486
pc_299_b_17,2,1161,175,14.9270533,47.01063709,0.968253012,116.8761543,0.667863739,0.401234292,2.492309408,0.375536481,49.64496425,12.40986138,0.499972208,0.558396432,0.07429082
pc_299_b_18,2,1400,241,17.51715531,46.75467891,0.84421959,166.9472222,0.692727063,0.329635712,3.033651888,0.266298343,46.86481478,25.11942196,0.732118478,1.279880585,0.225527509
pc_299_b_19,2,1764,292,19.28175166,52.80151513,0.815514039,200.4680374,0.686534375,0.302169913,3.30939633,0.266666667,49.68109563,28.75230271,0.76074785,1.090685715,0.181338512
pc_299_b_2,2,3588,499,25.20608127,69.35416354,0.756430247,281.5929291,0.564314487,0.281211748,3.556039206,0.229636447,65.03955333,42.54070488,0.808748645,1.018742972,0.122094085
pc_299_b_20,2,1674,229,16.96325845,54.91812087,0.954508974,147.390873,0.652172004,0.361566812,2.765740565,0.30458221,57.08379176,17.02137001,0.54606061,1.048065073,0.080240756
pc_299_b_21,2,3552,348,21.04964041,101.8430165,0.987238865,241.5746391,0.694179998,0.273743121,3.653059833,0.310714286,100.6276502,16.02459369,0.399056921,1.189703204,0.155368293
pc_299_b_22,2,4176,397,22.48279563,84.29116205,0.917838503,271.1248917,0.682934236,0.260513836,3.838567714,0.180127042,81.85350275,32.49207583,0.630042861,1.174650136,0.158497984
pc_299_b_23,2,6478,591,27.43145222,92.17917335,0.822059485,392.900541,0.66480633,0.219339094,4.559150769,0.176312649,88.54537699,50.4178809,0.754587051,1.139473106,0.129581539
pc_299_b_24,2,3588,499,25.20608127,69.35416354,0.756430247,281.5929291,0.564314487,0.281211748,3.556039206,0.229636447,65.03955333,42.54070488,0.808748645,1.018742972,0.122094085
pc_299_b_25,2,1767,261,18.22952334,58.05170109,0.835947317,190.3969696,0.729490305,0.300791219,3.324565135,0.214814815,56.21764552,30.852789,0.740816912,1.177400858,0.140054839
pc_299_b_26,2,2200,384,22.02508267,52.49761899,0.546393113,252.6162697,0.663034829,0.273908874,3.650849228,0.265135699,49.26386071,41.25990435,0.91516602,1.07068267,0.117432115
pc_299_b_27,2,3243,339,20.77566378,74.73285757,0.905405901,233.9533188,0.690127784,0.278981606,3.584465703,0.202630006,68.2609725,28.97999107,0.651572713,1.269790807,0.149086131
pc_299_b_28,2,1064,187,15.43035304,45,0.954844345,124.0832611,0.663546851,0.390672225,2.559690542,0.33938294,43.93807127,13.05428696,0.545074774,1.191083677,0.215454402
pc_299_b_29,2,1620,224,16.88803298,54.20332093,0.965815322,134.6690476,0.601201105,0.393968186,2.538276023,0.300268097,57.80048288,14.98368273,0.509147424,0.839863995,0.105665531
pc_299_b_3,2,1767,261,18.22952334,58.05170109,0.835947317,190.3969696,0.729490305,0.300791219,3.324565135,0.214814815,56.21764552,30.852789,0.740816912,1.177400858,0.140054839
pc_299_b_30,2,1080,248,17.55346034,46.64761516,0.856628494,166.5685425,0.688299762,0.331069848,3.020510645,0.288782816,43.43092029,22.4074771,0.718285277,1.305618787,0.222916759
pc_299_b_31,2,1204,175,14.9270533,46.61544808,0.965739478,126.2193001,0.721253143,0.37153368,2.691546029,0.255847953,56.07192569,14.55142208,0.509424682,0.807260901,0.113765252
pc_299_b_32,2,1406,195,15.75695755,50.32891813,0.9474403,120.2903679,0.616873682,0.411520415,2.430013103,0.332764505,51.5091318,16.47945122,0.565625861,1.116123395,0.340324688
pc_299_b_33,2,1944,284,18.98227571,56.04462508,0.8494555,187.882251,0.66389488,0.317404,3.150558913,0.226581265,55.5642879,29.31906676,0.726402273,1.127447427,0.123522424
pc_299_b_34,2,1890,312,19.93114994,56.72741841,0.873963549,177.1248917,0.567707986,0.353510755,2.828768249,0.239447429,53.69014384,26.09295223,0.697130888,1.245149536,0.211715612
pc_299_b_35,2,3249,289,19.18244584,73.75635566,0.981960679,191.5391052,0.66276507,0.314627297,3.178363765,0.273415326,80.74547971,15.26777793,0.43483932,1.062742843,0.20647663
pc_299_b_36,2,621,125,12.61566261,31.90611227,0.958092684,79.9411255,0.639529004,0.495780773,2.017020536,0.452898551,35.01772408,10.0311208,0.535218075,1.143405988,0.354846616
pc_299_b_37,2,540,178,15.05445578,37.64306045,0.958396409,109.6335137,0.615918616,0.431391516,2.318079893,0.536144578,36.65986269,10.46421234,0.534266391,1.054539323,0.223997154
pc_299_b_38,2,2464,421,22.22649193,58.5918083,0.832670838,247.7167748,0.638445296,0.281880724,3.547599803,0.255767963,52.56691659,29.10988944,0.744156066,1.228482262,0.149895486
