ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
ac_299_a_0,0,1596,282,18.94870844,58.05170109,0.919181794,205.3614357,0.728232042,0.289874888,3.449764158,0.275390625,57.81883101,22.77099287,0.627561555,1.083445497,0.140833691
ac_299_a_1,0,1720,206,16.19528778,50.24937811,0.86822496,148.3198052,0.719999054,0.34303576,2.91514797,0.222462203,52.11191754,25.85640952,0.704393893,1.059042261,0.103237686
ac_299_a_2,0,4088,383,22.08281562,88.48163651,0.973725899,266.0954544,0.6947662,0.260715507,3.835598471,0.235257985,89.97723467,20.48990745,0.477203563,1.257224928,0.15965684
ac_299_a_3,0,6440,850,32.09440437,116.1077086,0.900938116,551.4274529,0.681616135,0.18284825,5.469015962,0.209260217,97.36531447,42.25144361,0.658746985,1.402613854,0.153879012
ac_299_a_4,0,5824,629,28.29960554,92.07062507,0.76508039,421.8294731,0.670635092,0.210762497,4.744677144,0.187705163,86.06833536,55.42239431,0.802455467,1.289607363,0.157588925
ac_299_a_5,0,3237,377,21.90916038,86.97700846,0.927573909,274.8467171,0.729036385,0.25042925,3.993143769,0.168078466,79.69803504,29.77835186,0.611260766,1.372350661,0.150165529
ac_299_b_0,0,2907,625,26.34227689,62.64982043,0.687706654,379.9594155,0.697173239,0.217804061,4.591282628,0.24682971,55.4406063,40.2492524,0.852049691,1.397820863,0.154190685
ac_299_b_1,0,2856,686,28.94463025,72.18032973,0.824188216,391.0426766,0.594289782,0.232537887,4.300374501,0.366982711,66.22806636,37.50601208,0.752539684,1.505119141,0.228825534
ac_299_b_2,0,851,188,15.47155566,38.07886553,0.874729185,132.3259018,0.70386118,0.367315279,2.722456854,0.320272572,38.20458549,18.51440303,0.696140836,1.16872345,0.068505529
ac_299_b_3,0,3410,722,28.29960554,69.65629907,0.577302564,450.4568901,0.716147679,0.197368127,5.066674206,0.242950946,59.95497642,48.95505559,0.903620668,1.351905349,0.148683758
ac_299_b_4,0,2210,352,21.17026971,72.89718787,0.933579941,264.7106781,0.752018972,0.251249267,3.980111116,0.207302709,75.66583109,27.11630438,0.598639469,1.446289982,0.158005245
ac_299_b_5,0,3534,386,22.16913314,81.39410298,0.935165789,258.0954544,0.668641074,0.269847394,3.705798246,0.229761905,73.2862028,25.95872904,0.595155707,1.261995347,0.216320218
ac_299_b_6,0,3050,338,20.74499858,72.9451849,0.87467675,220.1604256,0.651362206,0.296022026,3.378127009,0.25,60.43957752,29.295468,0.696208803,1.174751651,0.22891517
ac_299_b_7,0,1890,243,17.58969043,63.95310782,0.969692665,179.2903679,0.737820444,0.308213112,3.244508301,0.203177258,73.62625215,17.98894939,0.494295382,1.116497217,0.171851178
ac_301_a_0,0,3036,600,26.58285062,69.87131028,0.892323509,339.8944443,0.612422422,0.245701245,4.069983442,0.291185729,69.57351161,31.40523611,0.671860439,1.376714257,0.128658486
ac_301_a_1,0,2200,235,17.29772508,59.36328832,0.934150619,167.2253967,0.711597433,0.32496503,3.077254191,0.235943775,57.00458258,20.34373851,0.597393506,1.07357071,0.108729317
ac_301_a_10,0,2508,270,18.26441241,60,0.843605698,204.2903679,0.779734229,0.280871509,3.560346881,0.179945055,57.84734158,31.06189089,0.732777696,1.237963382,0.1600398
ac_301_a_11,0,3132,281,18.9150816,66.24198065,0.809965816,208.5330086,0.742110351,0.284959594,3.509269461,0.163848397,63.0603334,36.9834408,0.765817922,1.225095846,0.213211858
ac_301_a_12,0,2350,417,23.04215463,57.14017851,0.638981708,266.1248917,0.638189189,0.272011623,3.676313493,0.252268603,51.34348678,39.49453595,0.87705298,1.490621741,0.249897683
ac_301_a_13,0,3685,447,23.50714705,68.0661443,0.365554217,329.6812409,0.759634196,0.22400389,4.464208185,0.191358025,52.70782542,49.05991937,0.96477461,1.382234238,0.229201284
ac_301_a_14,0,3526,416,23.01450957,86.20904825,0.896387948,285.0304833,0.685169431,0.253664848,3.942209606,0.186296462,87.57794521,38.82071068,0.66578555,1.264096474,0.16803311
ac_301_a_15,0,5530,584,27.17496892,79.30952024,0.76937134,390.001046,0.672415597,0.218903728,4.568218235,0.186136072,71.34890136,45.5778067,0.799250775,1.2798368,0.157430121
ac_301_a_16,0,4656,664,26.05065599,97.12878049,0.890276354,372.001046,0.697938173,0.220000858,4.545436809,0.217196414,88.51046908,40.30949971,0.674848649,1.132188907,0.124098376
ac_301_a_17,0,3290,509,25.45739437,78.71467462,0.840829156,352.2853173,0.692112608,0.227022698,4.404845901,0.251482213,67.44469949,36.50785571,0.735731331,1.333013466,0.142365421
ac_301_a_18,0,2494,290,19.0492328,58.13776741,0.925329784,208.1898628,0.730490747,0.28745362,3.478822073,0.198191933,70.38021966,26.68559478,0.615762355,1.349031497,0.230257389
ac_301_a_19,0,2420,256,18.05406667,58.1893461,0.789719973,205.2903679,0.8019155,0.276284386,3.619458974,0.160703076,71.11559868,43.62710801,0.783241657,1.232279628,0.163175917
ac_301_a_2,0,1820,321,20.21657473,66.28725368,0.943773743,218.0599205,0.679314394,0.291260505,3.433352554,0.240269461,69.93049529,23.11846781,0.574971372,1.129402523,0.128641445
ac_301_a_20,0,2080,388,22.22649193,70.68238819,0.882941806,292.4386002,0.753707732,0.238773485,4.188069707,0.269819193,63.24662342,29.69317942,0.68518789,1.387348381,0.155771529
ac_301_a_21,0,3132,422,22.36924543,70.21395873,0.521076875,285.273124,0.725885812,0.24634307,4.059379468,0.17404783,56.94664045,48.60451276,0.923855913,1.294706836,0.203090226
ac_301_a_22,0,4410,380,21.99615937,72.80109889,0.784513289,282.9949494,0.744723551,0.244184473,4.095264478,0.17649791,69.55246606,43.13031923,0.787471908,1.155725554,0.145356754
ac_301_a_23,0,4485,641,27.70854463,73.35529974,0.7349746,446.1787156,0.739931535,0.195098863,5.125606489,0.226691729,74.07733181,50.23144149,0.823465019,1.332146991,0.168005306
ac_301_a_24,0,2480,471,23.82991475,62.03224968,0.834834126,295.1309883,0.661728673,0.253663248,3.942234469,0.28516624,55.66997002,30.64640604,0.741957932,1.229827575,0.138629717
ac_301_a_25,0,2040,373,21.79262146,60.20797289,0.855914776,247.7817459,0.664294225,0.276305824,3.619178146,0.276091784,51.92124274,26.84935246,0.719108411,1.089231507,0.09184157
ac_301_a_26,0,2499,297,19.44613444,57.14017851,0.735878798,234.509668,0.789594842,0.260508804,3.838641862,0.19591029,60.85259578,41.20410077,0.822868933,1.164774393,0.155212547
ac_301_a_27,0,3105,340,20.80628379,69.0651866,0.89895932,258.746212,0.761018271,0.252621547,3.958490527,0.202863962,68.10279508,29.83121194,0.661839953,1.205724377,0.133072622
ac_301_a_28,0,2562,429,22.73621022,64.63745044,0.786452824,305.6396103,0.752806922,0.233699784,4.278994108,0.215270414,60.17084739,37.164545,0.785907342,1.161047279,0.127198423
ac_301_a_29,0,3120,387,22.19783106,65.76473219,0.81102991,278.4325035,0.719463833,0.250461214,3.992634157,0.175351155,64.0487799,37.46883647,0.764855991,1.317854686,0.27273677
ac_301_a_3,0,5106,708,29.9180113,89.14033879,0.860174796,493.2203461,0.701593664,0.190564329,5.247571795,0.234646195,79.31580673,40.45100858,0.714142376,1.42802173,0.24285191
ac_301_a_30,0,3162,322,20.24804024,67.42403132,0.64205776,250.746212,0.778714944,0.25368716,3.941862881,0.187755102,60.92090486,46.70539353,0.875589097,1.175097196,0.206872997
ac_301_a_31,0,1593,362,19.67396304,59.68249325,0.8908177,226.2253967,0.744162489,0.273212374,3.660156327,0.275113122,53.39856438,24.26221966,0.674062978,1.345638188,0.163766861
ac_301_a_32,0,3036,600,26.58285062,69.87131028,0.892323509,339.8944443,0.612422422,0.245701245,4.069983442,0.291185729,69.57351161,31.40523611,0.671860439,1.376714257,0.128658486
ac_301_a_33,0,2200,235,17.29772508,59.36328832,0.934150619,167.2253967,0.711597433,0.32496503,3.077254191,0.235943775,57.00458258,20.34373851,0.597393506,1.07357071,0.108729317
ac_301_a_34,0,1820,321,20.21657473,66.28725368,0.943773743,218.0599205,0.679314394,0.291260505,3.433352554,0.240269461,69.93049529,23.11846781,0.574971372,1.129402523,0.128641445
ac_301_a_35,0,5106,708,29.9180113,89.14033879,0.860174796,493.2203461,0.701593664,0.190564329,5.247571795,0.234646195,79.31580673,40.45100858,0.714142376,1.42802173,0.24285191
ac_301_a_36,0,3600,319,20.15349634,81.0246876,0.916505419,246.2253967,0.771866447,0.25713869,3.888951906,0.18676815,83.53046857,33.41404761,0.632473137,1.175401182,0.115529094
ac_301_a_37,0,2546,348,21.04964041,72.61542536,0.862598589,268.3675324,0.77117107,0.246413548,4.05821843,0.179844961,72.02359187,36.43594248,0.71125874,1.143414017,0.095420714
ac_301_a_38,0,4050,310,19.86716535,82.76472679,0.958463407,210.7756493,0.679921449,0.296118365,3.377027964,0.192069393,81.04334153,23.11481947,0.534055735,1.044535095,0.132142859
ac_301_a_39,0,1566,197,15.79730834,55.31726674,0.87490255,157.6984848,0.804584106,0.314706307,3.177565803,0.21420765,60.80346627,29.44705831,0.695915948,1.016008878,0.139965513
ac_301_a_4,0,3600,319,20.15349634,81.0246876,0.916505419,246.2253967,0.771866447,0.25713869,3.888951906,0.18676815,83.53046857,33.41404761,0.632473137,1.175401182,0.115529094
ac_301_a_40,0,6720,668,29.07629718,111,0.95515483,406.3208512,0.611928993,0.224812193,4.448157311,0.215304799,108.4927662,32.12544824,0.544156983,1.232303831,0.151644968
ac_301_a_41,0,5229,806,29.12005386,98.00510191,0.890405125,461.1431816,0.69240718,0.198383823,5.040733591,0.196460177,90.89396783,41.37210591,0.674662052,1.293580292,0.154502771
ac_301_a_42,0,2508,270,18.26441241,60,0.843605698,204.2903679,0.779734229,0.280871509,3.560346881,0.179945055,57.84734158,31.06189089,0.732777696,1.237963382,0.1600398
ac_301_a_43,0,3132,281,18.9150816,66.24198065,0.809965816,208.5330086,0.742110351,0.284959594,3.509269461,0.163848397,63.0603334,36.9834408,0.765817922,1.225095846,0.213211858
ac_301_a_44,0,2350,417,23.04215463,57.14017851,0.638981708,266.1248917,0.638189189,0.272011623,3.676313493,0.252268603,51.34348678,39.49453595,0.87705298,1.490621741,0.249897683
ac_301_a_45,0,3685,447,23.50714705,68.0661443,0.365554217,329.6812409,0.759634196,0.22400389,4.464208185,0.191358025,52.70782542,49.05991937,0.96477461,1.382234238,0.229201284
ac_301_a_46,0,3526,416,23.01450957,86.20904825,0.896387948,285.0304833,0.685169431,0.253664848,3.942209606,0.186296462,87.57794521,38.82071068,0.66578555,1.264096474,0.16803311
ac_301_a_47,0,5530,584,27.17496892,79.30952024,0.76937134,390.001046,0.672415597,0.218903728,4.568218235,0.186136072,71.34890136,45.5778067,0.799250775,1.2798368,0.157430121
ac_301_a_48,0,4656,664,26.05065599,97.12878049,0.890276354,372.001046,0.697938173,0.220000858,4.545436809,0.217196414,88.51046908,40.30949971,0.674848649,1.132188907,0.124098376
ac_301_a_49,0,3290,509,25.45739437,78.71467462,0.840829156,352.2853173,0.692112608,0.227022698,4.404845901,0.251482213,67.44469949,36.50785571,0.735731331,1.333013466,0.142365421
ac_301_a_5,0,2546,348,21.04964041,72.61542536,0.862598589,268.3675324,0.77117107,0.246413548,4.05821843,0.179844961,72.02359187,36.43594248,0.71125874,1.143414017,0.095420714
ac_301_a_50,0,2494,290,19.0492328,58.13776741,0.925329784,208.1898628,0.730490747,0.28745362,3.478822073,0.198191933,70.38021966,26.68559478,0.615762355,1.349031497,0.230257389
ac_301_a_51,0,2420,256,18.05406667,58.1893461,0.789719973,205.2903679,0.8019155,0.276284386,3.619458974,0.160703076,71.11559868,43.62710801,0.783241657,1.232279628,0.163175917
ac_301_a_52,0,2080,388,22.22649193,70.68238819,0.882941806,292.4386002,0.753707732,0.238773485,4.188069707,0.269819193,63.24662342,29.69317942,0.68518789,1.387348381,0.155771529
ac_301_a_53,0,3132,422,22.36924543,70.21395873,0.521076875,285.273124,0.725885812,0.24634307,4.059379468,0.17404783,56.94664045,48.60451276,0.923855913,1.294706836,0.203090226
ac_301_a_54,0,4410,380,21.99615937,72.80109889,0.784513289,282.9949494,0.744723551,0.244184473,4.095264478,0.17649791,69.55246606,43.13031923,0.787471908,1.155725554,0.145356754
ac_301_a_55,0,4485,641,27.70854463,73.35529974,0.7349746,446.1787156,0.739931535,0.195098863,5.125606489,0.226691729,74.07733181,50.23144149,0.823465019,1.332146991,0.168005306
ac_301_a_56,0,2480,471,23.82991475,62.03224968,0.834834126,295.1309883,0.661728673,0.253663248,3.942234469,0.28516624,55.66997002,30.64640604,0.741957932,1.229827575,0.138629717
ac_301_a_57,0,2040,373,21.79262146,60.20797289,0.855914776,247.7817459,0.664294225,0.276305824,3.619178146,0.276091784,51.92124274,26.84935246,0.719108411,1.089231507,0.09184157
