ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
ac_relapse_c10_0,0,2852,381,22.02508267,68.44705983,0.798348797,243.6396103,0.639474043,0.284000774,3.521117164,0.214285714,56.91830709,34.27593789,0.776012445,1.318674648,0.206725373
ac_relapse_c10_1,0,4080,278,18.81384048,90.02777349,0.970023524,224.1898628,0.806438356,0.263640034,3.793050644,0.199856219,90.70757157,22.0429407,0.492961493,1.193359241,0.239180359
ac_relapse_c10_2,0,1505,236,17.33448968,45.54119015,0.786099994,163.118795,0.691181335,0.333854265,2.995318929,0.244813278,46.04059907,28.45766411,0.786192944,1.070105545,0.22442654
ac_relapse_c10_3,0,884,206,16.19528778,36.40054945,0.79655526,114.8050865,0.557306245,0.443177203,2.256433756,0.389413989,33.08991199,20.0050267,0.777538248,1.108703462,0.184494556
ac_relapse_c10_4,0,2928,364,21.29021554,68.8839604,0.500142265,269.3675324,0.756650372,0.248304553,4.027312377,0.191603875,53.671098,46.47612512,0.930560719,1.193020712,0.175530252
ac_relapse_c11_0,0,1092,217,16.62206309,43.96589587,0.941285854,130.2609307,0.600280786,0.400885753,2.494476275,0.375432526,45.39049555,15.32431402,0.581042713,1.057605134,0.202265309
ac_relapse_c11_1,0,868,194,15.71650316,31.40063694,0.391553559,136.8761543,0.705547187,0.360726462,2.77218365,0.335060449,28.19374792,25.9426271,0.959247267,1.126181196,0.332477675
ac_relapse_c11_2,0,1596,241,17.51715531,46.95742753,0.697511391,167.7045815,0.695869633,0.328147066,3.047414108,0.220695971,48.96445653,35.08664153,0.84650676,1.326408327,0.531396849
ac_relapse_c11_3,0,1386,251,17.87688803,50.60632372,0.938095791,161.1959595,0.642214978,0.348407617,2.870201314,0.342896175,49.91066446,17.28785296,0.588537112,1.112198734,0.171567327
ac_relapse_c11_4,0,1920,243,17.58969043,52.69724851,0.909591633,166.9055916,0.686854286,0.331083229,3.020388567,0.269700333,48.34551485,20.08772496,0.644595519,1.153566204,0.207936196
