ID,LABEL,Area_bbox,Area_filled,equivalent_diameter_area,feret_diameter_max,Eccentricity,Perimeter,Perimeter_to_Surface_Ratio,Sphericity,Spherical Dispropotion,Solidity,AXIS,axis,Elogantion,Fractal Dimension,Lacunarity
m_299_a_0,2,4096,1419,32.97493853,69.52697318,0.416873923,515.4985207,0.603628244,0.200958529,4.976151064,0.28,62.53714126,56.84403,0.953396202,1.671332387,0.254260115
m_299_a_1,2,5459,1009,35.6289184,104.2353107,0.940233256,562.4396462,0.564132042,0.199010772,5.024853625,0.307526218,98.11974113,33.41282249,0.583550419,1.45169631,0.166117643
m_299_a_10,2,2115,385,21.14017692,53.53503526,0.722636109,260.4386002,0.741990314,0.255007608,3.921451627,0.282154341,42.15968361,29.14198143,0.831401621,1.223749994,0.194276289
m_299_a_11,2,1872,329,19.83509565,59.40538696,0.827791244,207.4325035,0.6713026,0.300405142,3.328837822,0.292336802,48.31242748,27.10502237,0.74902352,1.06334615,0.118866137
m_299_a_12,2,2090,256,18.05406667,66.28725368,0.900471565,186.6751442,0.729199782,0.303835433,3.291255371,0.211570248,66.90116984,29.09631479,0.659480771,1.227938496,0.211715612
m_299_a_13,2,1260,618,21.58716455,45.17742799,0.701768168,242.0304833,0.661285473,0.280204694,3.568819583,0.399563319,40.78700543,29.05688246,0.844041106,1.394246341,0.152392179
m_299_a_14,2,2814,253,17.94796938,68.24954212,0.940062519,203.6751442,0.805040096,0.276838929,3.612208747,0.178294574,71.45093225,24.36492098,0.583953887,1.233447302,0.196761128
m_299_a_15,2,2806,343,20.89787463,63.13477647,0.880225006,252.5746391,0.73636921,0.259933498,3.847137859,0.218889598,66.44463608,31.53173863,0.688880665,1.322151921,0.232998719
m_299_a_16,2,2958,689,28.43425946,69.02897942,0.727784964,402.5218613,0.633892695,0.221923004,4.506067339,0.315763302,62.04662997,42.55191386,0.828133685,1.428308983,0.247067017
m_299_a_2,2,1269,314,19.64157789,47.85394446,0.920053379,207.0538239,0.683345953,0.29801834,3.355498192,0.401856764,49.2604022,19.29988234,0.625933728,1.438319367,0.082005842
m_299_a_3,2,3696,522,25.78043914,79.88116173,0.928846678,301.373629,0.577344117,0.268741623,3.721046217,0.266190719,69.99123529,25.92925889,0.608657843,1.166072816,0.152371337
m_299_a_4,2,4536,612,27.8689096,78.60025445,0.640011411,399.1492783,0.654343079,0.219348415,4.55895703,0.197092084,67.37286874,51.7669815,0.876564546,1.19606343,0.13127095
m_299_a_5,2,4278,697,29.79006483,94.9210198,0.92109054,439.5634919,0.630650634,0.212911788,4.696780818,0.228001308,87.24200921,33.96754129,0.623977926,1.393811805,0.133488296
m_299_a_6,2,5846,931,34.1323041,92.80086206,0.745954742,535.8538598,0.585632634,0.200110149,4.997247786,0.245505769,77.35971612,51.52131089,0.816086171,1.411833209,0.224028234
m_299_a_7,2,2052,426,22.14039803,57.55866572,0.875804982,230.9949494,0.599986881,0.301115293,3.320987091,0.301724138,55.64918107,26.85991954,0.694741057,1.190650278,0.151537028
m_299_a_8,2,6075,865,33.18662692,84.77027781,0.834761535,464.0904038,0.536520698,0.224652056,4.45132806,0.273388116,87.87998996,48.3877455,0.742032103,1.294473611,0.173304712
m_299_a_9,2,2340,365,21.55765372,72.89718787,0.974180512,226.8528137,0.621514558,0.298543207,3.349598907,0.340167754,66.62136615,15.04114071,0.475153158,1.240571765,0.144768893
m_299_b_0,2,2240,495,25.10485162,71.86793444,0.951282014,307.8589104,0.621937193,0.256186242,3.903410234,0.325443787,78.13820799,24.09173803,0.555267612,1.510002637,0.120097537
m_299_b_1,2,3234,475,22.73621022,78.77182237,0.907003251,265.2314934,0.65327954,0.269304034,3.713275241,0.262613195,67.71703133,28.51724128,0.648940381,1.130862257,0.125383551
m_299_b_10,2,5084,545,26.34227689,102.2007828,0.859065362,335.9360749,0.616396468,0.246346581,4.059321607,0.175863182,96.85937696,49.57901254,0.715448044,1.295172915,0.134028055
m_299_b_11,2,2501,254,17.98340469,72.40165744,0.96402223,182.9116882,0.720124757,0.308873274,3.237573733,0.253746254,67.38612369,17.91268938,0.515578929,1.199370507,0.148650462
m_299_b_12,2,2730,292,19.28175166,74.30343195,0.966159344,198.3675324,0.679340864,0.305369577,3.274720459,0.245998315,77.44297682,19.97610357,0.507883813,1.22917022,0.14676804
m_299_b_13,2,2430,298,19.47884453,62.76941931,0.88716844,203.0538239,0.681388671,0.3013713,3.318165996,0.252756573,52.59275935,24.2687041,0.679297967,1.160115089,0.189318204
